Artist,Title,Style,Duration,lien
Les Chaussettes Noires,C'est tout comme,Rock,,Genius
Les Chaussettes Noires,Ne délaisse pas,Rock,,Genius
Danny boy et ses pénitents,Stop !,Rock,143,
Danny boy et ses pénitents,Un collier de tes bras,Rock,128,
Danny boy et ses pénitents,Ha ! ha !,Rock,126,
Danny boy et ses pénitents,Lettre ouverte,Rock,187,
Danny boy et ses pénitents,Croque la pomme,Rock,171,
Danny boy et ses pénitents,Le twist de schubert,Rock,155,
Danny boy et ses pénitents,Et puis voilà,Rock,126,
Danny boy et ses pénitents,Danny boy,Rock,121,
Danny boy et ses pénitents,Je Ne Veux Plus Etre Un Dragueur,Rock,135,
Danny boy et ses pénitents,C'est Encore Une Souris,Rock,124,
Danny boy et ses pénitents,Un Coup Au Coeur,Rock,115,
Danny boy et ses pénitents,Il y a longtemps,Rock,119,https://www.paroles.net/dany-boy-et-ses-penitents/paroles-il-y-a-longtemps
Les Chats Sauvages ,Est-ce Que Tu Le Sais,Rock,,
Les Chats Sauvages ,Oh! Baby Tu Me Rends Fou,Rock,,
Les Chats Sauvages ,Amour Et Rock,Rock,,
Les Chats Sauvages ,C'est Pas Sérieux,Rock,,
Les Chats Sauvages ,Sans Raison,Rock,,
Les Chats Sauvages ,Viens Danser Le Twist,Rock,,
Les Chats Sauvages ,"Yeh, Yeh, Yeh",Rock,,
Les Chats Sauvages ,Twist A Saint-Tropez,Rock,,Genius
Les Chats Sauvages ,Oh Boy !,Rock,,
Les Chats Sauvages ,Les Genoux Qui Craquent,Rock,,
Les Chats Sauvages ,Dernier baisers,Rock,,Genius
Les Chats Sauvages ,C'est le jour,Rock,,Genius
Les Chats Sauvages ,Sherry,Rock,,Genius
Dick Rivers,Je Suis Bien,Rock,,Genius
Dick Rivers,"Cours, Mon Coeur",Rock,,Genius
Dick Rivers,Bien Trop Court,Rock,,Genius
Dick Rivers,Baby John,Rock,,Genius
Dick Rivers,L'amour De Ma Vie,Rock,,Genius
Dick Rivers,Au Coeur De La Nuit,Rock,,Genius
Dick Rivers,Tout A Changé,Rock,,Genius
Dick Rivers,Lydia,Rock,,Genius
Dick Rivers,Adresse-toi Ailleurs (Down The Line),Rock,,Genius
Dick Rivers,La Fille Qu'on A Tant Aimée,Rock,,Genius
Dick Rivers,Tu N'es Plus là,Rock,145,Genius
Dick Rivers,"Mon Coeur, Tu Remets ça",Rock,130,Genius
